No,Ticker
ACLS,Axcelis Technologies Inc
ARQT,Arcutis Biotherapeutics Inc
BTDR,Bitdeer Technologies Group
BULL,Webull Corp
CALM,"Cal-Maine Foods, Inc"
CDTX,Cidara Therapeutics Inc
CIFR,Cipher Mining Inc
CLSK,Cleanspark Inc
EOSE,Eos Energy Enterprises Inc
FLNC,Fluence Energy Inc
GBDC,Golub Capital BDC Inc
GCMG,GCM Grosvenor Inc
GLBE,Global E Online Ltd
GRAL,GRAIL Inc
GT,Goodyear Tire & Rubber Co
LEGN,Legend Biotech Corp ADR
MAT,"Mattel, Inc"
MLCO,Melco Resorts & Entertainment Ltd ADR
MRUS,Merus N.V
OCUL,Ocular Therapeutix Inc
